,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-01T18:05:30.531+03:00,   0.100E+01,   1.00000,   0.35938
      2,2020-11-01T18:05:30.533+03:00,   0.100E+01,   2.00000,   0.35938
      3,2020-11-01T18:05:30.533+03:00,   0.100E+01,   3.00000,   0.35938
      4,2020-11-01T18:05:30.534+03:00,   0.100E+01,   4.00000,   0.35938
      5,2020-11-01T18:05:30.534+03:00,   0.100E+01,   5.00000,   0.35938
      6,2020-11-01T18:05:30.535+03:00,   0.100E+01,   6.00000,   0.39062
      7,2020-11-01T18:05:30.536+03:00,   0.100E+01,   7.00000,   0.39062
      8,2020-11-01T18:05:30.536+03:00,   0.100E+01,   8.00000,   0.39062
      9,2020-11-01T18:05:30.536+03:00,   0.100E+01,   9.00000,   0.39062
     10,2020-11-01T18:05:30.537+03:00,   0.100E+01,  10.00000,   0.39062
     20,2020-11-01T18:05:30.539+03:00,   0.100E+01,  20.00000,   0.39062
     30,2020-11-01T18:05:30.543+03:00,   0.100E+01,  30.00000,   0.39062
     40,2020-11-01T18:05:30.547+03:00,   0.100E+01,  40.00000,   0.39062
     50,2020-11-01T18:05:30.549+03:00,   0.100E+01,  50.00000,   0.39062
     60,2020-11-01T18:05:30.553+03:00,   0.100E+01,  60.00000,   0.42188
     70,2020-11-01T18:05:30.556+03:00,   0.100E+01,  70.00000,   0.42188
     80,2020-11-01T18:05:30.558+03:00,   0.100E+01,  80.00000,   0.42188
     90,2020-11-01T18:05:30.561+03:00,   0.100E+01,  90.00000,   0.42188
    100,2020-11-01T18:05:30.565+03:00,   0.100E+01, 100.00000,   0.42188
    200,2020-11-01T18:05:30.590+03:00,   0.100E+01, 200.00000,   0.48438
    300,2020-11-01T18:05:30.617+03:00,   0.100E+01, 300.00000,   0.54688
    400,2020-11-01T18:05:30.642+03:00,   0.100E+01, 400.00000,   0.57812
    500,2020-11-01T18:05:30.668+03:00,   0.100E+01, 500.00000,   0.62500
    600,2020-11-01T18:05:30.693+03:00,   0.100E+01, 600.00000,   0.68750
    700,2020-11-01T18:05:30.721+03:00,   0.100E+01, 700.00000,   0.71875
