s,C,C
Time,"Back","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 6.3000000E+002, 2.0000000E+001, 7.5536363E+001
 1.2600000E+003, 2.0000000E+001, 9.8071789E+001
 1.8900000E+003, 2.0000000E+001, 1.0690922E+002
 2.5200000E+003, 2.0000000E+001, 1.1223816E+002
 3.1500000E+003, 2.0000000E+001, 1.1593575E+002
 3.7800000E+003, 2.0000000E+001, 1.1870530E+002
 4.4100000E+003, 2.0000000E+001, 1.2088397E+002
 5.0400000E+003, 2.0000003E+001, 1.2265781E+002
 5.6700000E+003, 2.0000019E+001, 1.2413943E+002
 6.3000000E+003, 2.0000083E+001, 1.2540171E+002
 6.9300000E+003, 2.0000281E+001, 1.2649425E+002
 7.5600000E+003, 2.0000782E+001, 1.2745216E+002
 8.1900000E+003, 2.0001866E+001, 1.2830114E+002
 8.8200000E+003, 2.0003949E+001, 1.2906047E+002
 9.4500000E+003, 2.0007586E+001, 1.2974495E+002
 1.0080000E+004, 2.0013465E+001, 1.3036616E+002
 1.0710000E+004, 2.0022383E+001, 1.3093332E+002
 1.1340000E+004, 2.0035222E+001, 1.3145385E+002
 1.1970000E+004, 2.0052914E+001, 1.3193383E+002
 1.2600000E+004, 2.0076414E+001, 1.3237828E+002
 1.3230000E+004, 2.0106664E+001, 1.3279139E+002
 1.3860000E+004, 2.0144574E+001, 1.3317668E+002
 1.4490000E+004, 2.0190999E+001, 1.3353714E+002
 1.5120000E+004, 2.0246722E+001, 1.3387534E+002
 1.5750000E+004, 2.0312447E+001, 1.3419348E+002
 1.6380000E+004, 2.0388789E+001, 1.3449348E+002
 1.7010000E+004, 2.0476273E+001, 1.3477699E+002
 1.7640000E+004, 2.0575333E+001, 1.3504548E+002
 1.8270000E+004, 2.0686316E+001, 1.3530022E+002
 1.8900000E+004, 2.0809481E+001, 1.3554236E+002
 1.9530000E+004, 2.0945010E+001, 1.3577290E+002
 2.0160000E+004, 2.1093009E+001, 1.3599274E+002
 2.0790000E+004, 2.1253517E+001, 1.3620269E+002
 2.1420000E+004, 2.1426511E+001, 1.3640346E+002
 2.2050000E+004, 2.1611915E+001, 1.3659570E+002
 2.2680000E+004, 2.1809601E+001, 1.3678001E+002
 2.3310000E+004, 2.2019400E+001, 1.3695692E+002
 2.3940000E+004, 2.2241107E+001, 1.3712690E+002
 2.4570000E+004, 2.2474483E+001, 1.3729041E+002
 2.5200000E+004, 2.2719263E+001, 1.3744784E+002
 2.5830000E+004, 2.2975161E+001, 1.3759957E+002
 2.6460000E+004, 2.3241871E+001, 1.3774592E+002
 2.7090000E+004, 2.3519073E+001, 1.3788722E+002
 2.7720000E+004, 2.3806436E+001, 1.3802375E+002
 2.8350000E+004, 2.4103620E+001, 1.3815577E+002
 2.8980000E+004, 2.4410280E+001, 1.3828353E+002
 2.9610000E+004, 2.4726067E+001, 1.3840726E+002
 3.0240000E+004, 2.5050631E+001, 1.3852717E+002
 3.0870000E+004, 2.5383622E+001, 1.3864345E+002
 3.1500000E+004, 2.5724693E+001, 1.3875629E+002
 3.2130000E+004, 2.6073498E+001, 1.3886586E+002
 3.2760000E+004, 2.6429696E+001, 1.3897232E+002
 3.3390000E+004, 2.6792953E+001, 1.3907582E+002
 3.4020000E+004, 2.7162939E+001, 1.3917649E+002
 3.4650000E+004, 2.7539332E+001, 1.3927448E+002
 3.5280000E+004, 2.7921816E+001, 1.3936989E+002
 3.5910000E+004, 2.8310082E+001, 1.3946286E+002
 3.6540000E+004, 2.8703832E+001, 1.3955348E+002
 3.7170000E+004, 2.9102773E+001, 1.3964187E+002
 3.7800000E+004, 2.9506622E+001, 1.3972811E+002
 3.8430000E+004, 2.9915104E+001, 1.3981231E+002
 3.9060000E+004, 3.0327952E+001, 1.3989454E+002
 3.9690000E+004, 3.0744909E+001, 1.3997490E+002
 4.0320000E+004, 3.1165725E+001, 1.4005345E+002
 4.0950000E+004, 3.1590160E+001, 1.4013027E+002
 4.1580000E+004, 3.2017980E+001, 1.4020544E+002
 4.2210000E+004, 3.2448961E+001, 1.4027902E+002
 4.2840000E+004, 3.2882888E+001, 1.4035107E+002
 4.3470000E+004, 3.3319551E+001, 1.4042165E+002
 4.4100000E+004, 3.3758751E+001, 1.4049082E+002
 4.4730000E+004, 3.4200294E+001, 1.4055864E+002
 4.5360000E+004, 3.4643995E+001, 1.4062515E+002
 4.5990000E+004, 3.5089675E+001, 1.4069041E+002
 4.6620000E+004, 3.5537164E+001, 1.4075447E+002
 4.7250000E+004, 3.5986297E+001, 1.4081736E+002
 4.7880000E+004, 3.6436916E+001, 1.4087913E+002
 4.8510000E+004, 3.6888869E+001, 1.4093983E+002
 4.9140000E+004, 3.7342011E+001, 1.4099948E+002
