s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4520199E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4520199E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1937801E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1937801E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3096000E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3096000E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7765287E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7765287E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4066752E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4066752E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1296637E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1296637E-003, 0.0000000E+000, 0.0000000E+000
 4.4100000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9117578E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9117578E-003, 0.0000000E+000, 0.0000000E+000
 5.0400000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7343468E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7343468E-003, 0.0000000E+000, 0.0000000E+000
 5.6700000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5861649E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5861649E-003, 0.0000000E+000, 0.0000000E+000
 6.3000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4599219E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4599219E-003, 0.0000000E+000, 0.0000000E+000
 6.9300000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3506565E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3506565E-003, 0.0000000E+000, 0.0000000E+000
 7.5600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2548552E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2548552E-003, 0.0000000E+000, 0.0000000E+000
 8.1900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1699492E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1699492E-003, 0.0000000E+000, 0.0000000E+000
 8.8200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0940099E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0940099E-003, 0.0000000E+000, 0.0000000E+000
 9.4500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0255566E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0255566E-003, 0.0000000E+000, 0.0000000E+000
 1.0080000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9634308E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9634308E-003, 0.0000000E+000, 0.0000000E+000
 1.0710000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9067113E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9067113E-003, 0.0000000E+000, 0.0000000E+000
 1.1340000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8546546E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8546546E-003, 0.0000000E+000, 0.0000000E+000
 1.1970000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8066534E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8066534E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7622057E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7622057E-003, 0.0000000E+000, 0.0000000E+000
 1.3230000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7208928E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7208928E-003, 0.0000000E+000, 0.0000000E+000
 1.3860000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6823619E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6823619E-003, 0.0000000E+000, 0.0000000E+000
 1.4490000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6463136E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6463136E-003, 0.0000000E+000, 0.0000000E+000
 1.5120000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6124919E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6124919E-003, 0.0000000E+000, 0.0000000E+000
 1.5750000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5806761E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5806761E-003, 0.0000000E+000, 0.0000000E+000
 1.6380000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5506753E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5506753E-003, 0.0000000E+000, 0.0000000E+000
 1.7010000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5223229E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5223229E-003, 0.0000000E+000, 0.0000000E+000
 1.7640000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4954731E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4954731E-003, 0.0000000E+000, 0.0000000E+000
 1.8270000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4699976E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4699976E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4457827E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4457827E-003, 0.0000000E+000, 0.0000000E+000
 1.9530000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4227278E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4227278E-003, 0.0000000E+000, 0.0000000E+000
 2.0160000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4007430E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4007430E-003, 0.0000000E+000, 0.0000000E+000
 2.0790000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3797478E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3797478E-003, 0.0000000E+000, 0.0000000E+000
 2.1420000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3596701E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3596701E-003, 0.0000000E+000, 0.0000000E+000
 2.2050000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3404448E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3404448E-003, 0.0000000E+000, 0.0000000E+000
 2.2680000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3220132E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3220132E-003, 0.0000000E+000, 0.0000000E+000
 2.3310000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3043221E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3043221E-003, 0.0000000E+000, 0.0000000E+000
 2.3940000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2873229E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2873229E-003, 0.0000000E+000, 0.0000000E+000
 2.4570000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2709717E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2709717E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2552281E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2552281E-003, 0.0000000E+000, 0.0000000E+000
 2.5830000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2400553E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2400553E-003, 0.0000000E+000, 0.0000000E+000
 2.6460000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2254194E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2254194E-003, 0.0000000E+000, 0.0000000E+000
 2.7090000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2112892E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2112892E-003, 0.0000000E+000, 0.0000000E+000
 2.7720000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1976360E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1976360E-003, 0.0000000E+000, 0.0000000E+000
 2.8350000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1844334E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1844334E-003, 0.0000000E+000, 0.0000000E+000
 2.8980000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1716569E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1716569E-003, 0.0000000E+000, 0.0000000E+000
 2.9610000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1592836E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1592836E-003, 0.0000000E+000, 0.0000000E+000
 3.0240000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1472925E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1472925E-003, 0.0000000E+000, 0.0000000E+000
 3.0870000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1356638E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1356638E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1243795E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1243795E-003, 0.0000000E+000, 0.0000000E+000
 3.2130000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1134222E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1134222E-003, 0.0000000E+000, 0.0000000E+000
 3.2760000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1027761E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1027761E-003, 0.0000000E+000, 0.0000000E+000
 3.3390000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0924263E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0924263E-003, 0.0000000E+000, 0.0000000E+000
 3.4020000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0823586E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0823586E-003, 0.0000000E+000, 0.0000000E+000
 3.4650000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0725601E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0725601E-003, 0.0000000E+000, 0.0000000E+000
 3.5280000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0630182E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0630182E-003, 0.0000000E+000, 0.0000000E+000
 3.5910000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0537215E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0537215E-003, 0.0000000E+000, 0.0000000E+000
 3.6540000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0446589E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0446589E-003, 0.0000000E+000, 0.0000000E+000
 3.7170000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0358202E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0358202E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0271956E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0271956E-003, 0.0000000E+000, 0.0000000E+000
 3.8430000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0187759E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0187759E-003, 0.0000000E+000, 0.0000000E+000
 3.9060000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0105523E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0105523E-003, 0.0000000E+000, 0.0000000E+000
 3.9690000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0025168E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0025168E-003, 0.0000000E+000, 0.0000000E+000
 4.0320000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9466136E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9466136E-004, 0.0000000E+000, 0.0000000E+000
 4.0950000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8697871E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8697871E-004, 0.0000000E+000, 0.0000000E+000
 4.1580000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7946180E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7946180E-004, 0.0000000E+000, 0.0000000E+000
 4.2210000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7210396E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7210396E-004, 0.0000000E+000, 0.0000000E+000
 4.2840000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6489886E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6489886E-004, 0.0000000E+000, 0.0000000E+000
 4.3470000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5784048E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5784048E-004, 0.0000000E+000, 0.0000000E+000
 4.4100000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5092309E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5092309E-004, 0.0000000E+000, 0.0000000E+000
