,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-01T17:48:00.477+03:00,   0.100E+01,   1.00000,   0.07812
      2,2020-11-01T17:48:00.477+03:00,   0.100E+01,   2.00000,   0.07812
      3,2020-11-01T17:48:00.477+03:00,   0.100E+01,   3.00000,   0.07812
      4,2020-11-01T17:48:00.477+03:00,   0.100E+01,   4.00000,   0.07812
      5,2020-11-01T17:48:00.477+03:00,   0.100E+01,   5.00000,   0.07812
      6,2020-11-01T17:48:00.477+03:00,   0.100E+01,   6.00000,   0.07812
      7,2020-11-01T17:48:00.477+03:00,   0.100E+01,   7.00000,   0.07812
      8,2020-11-01T17:48:00.477+03:00,   0.100E+01,   8.00000,   0.07812
      9,2020-11-01T17:48:00.477+03:00,   0.100E+01,   9.00000,   0.07812
     10,2020-11-01T17:48:00.477+03:00,   0.100E+01,  10.00000,   0.07812
     20,2020-11-01T17:48:00.477+03:00,   0.100E+01,  20.00000,   0.07812
     30,2020-11-01T17:48:00.477+03:00,   0.100E+01,  30.00000,   0.07812
     40,2020-11-01T17:48:00.477+03:00,   0.100E+01,  40.00000,   0.07812
     50,2020-11-01T17:48:00.477+03:00,   0.100E+01,  50.00000,   0.07812
     60,2020-11-01T17:48:00.492+03:00,   0.100E+01,  60.00000,   0.10938
     70,2020-11-01T17:48:00.492+03:00,   0.100E+01,  70.00000,   0.10938
     80,2020-11-01T17:48:00.492+03:00,   0.100E+01,  80.00000,   0.10938
     90,2020-11-01T17:48:00.492+03:00,   0.100E+01,  90.00000,   0.10938
    100,2020-11-01T17:48:00.492+03:00,   0.100E+01, 100.00000,   0.10938
    200,2020-11-01T17:48:00.508+03:00,   0.100E+01, 200.00000,   0.14062
    300,2020-11-01T17:48:00.539+03:00,   0.100E+01, 300.00000,   0.20312
    400,2020-11-01T17:48:00.555+03:00,   0.100E+01, 400.00000,   0.23438
    500,2020-11-01T17:48:00.570+03:00,   0.100E+01, 500.00000,   0.26562
    600,2020-11-01T17:48:00.586+03:00,   0.100E+01, 600.00000,   0.29688
    700,2020-11-01T17:48:00.610+03:00,   0.100E+01, 700.00000,   0.32812
    800,2020-11-01T17:48:00.628+03:00,   0.100E+01, 800.00000,   0.35938
