s,C,C
Time,"Back","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 6.3000000E+002, 2.0000000E+001, 7.4840301E+001
 1.2600000E+003, 2.0000000E+001, 9.8113742E+001
 1.8900000E+003, 2.0000000E+001, 1.0695581E+002
 2.5200000E+003, 2.0000000E+001, 1.1227815E+002
 3.1500000E+003, 2.0000000E+001, 1.1596941E+002
 3.7800000E+003, 2.0000000E+001, 1.1873383E+002
 4.4100000E+003, 2.0000000E+001, 1.2090848E+002
 5.0400000E+003, 2.0000002E+001, 1.2267912E+002
 5.6700000E+003, 2.0000014E+001, 1.2415816E+002
 6.3000000E+003, 2.0000067E+001, 1.2541834E+002
 6.9300000E+003, 2.0000238E+001, 1.2650913E+002
 7.5600000E+003, 2.0000685E+001, 1.2746559E+002
 8.1900000E+003, 2.0001682E+001, 1.2831333E+002
 8.8200000E+003, 2.0003632E+001, 1.2907160E+002
 9.4500000E+003, 2.0007087E+001, 1.2975516E+002
 1.0080000E+004, 2.0012729E+001, 1.3037558E+002
 1.0710000E+004, 2.0021357E+001, 1.3094204E+002
 1.1340000E+004, 2.0033855E+001, 1.3146195E+002
 1.1970000E+004, 2.0051162E+001, 1.3194139E+002
 1.2600000E+004, 2.0074237E+001, 1.3238535E+002
 1.3230000E+004, 2.0104034E+001, 1.3279802E+002
 1.3860000E+004, 2.0141468E+001, 1.3318291E+002
 1.4490000E+004, 2.0187402E+001, 1.3354302E+002
 1.5120000E+004, 2.0242629E+001, 1.3388090E+002
 1.5750000E+004, 2.0307857E+001, 1.3419874E+002
 1.6380000E+004, 2.0383710E+001, 1.3449847E+002
 1.7010000E+004, 2.0470716E+001, 1.3478173E+002
 1.7640000E+004, 2.0569314E+001, 1.3504999E+002
 1.8270000E+004, 2.0679854E+001, 1.3530453E+002
 1.8900000E+004, 2.0802598E+001, 1.3554647E+002
 1.9530000E+004, 2.0937731E+001, 1.3577683E+002
 2.0160000E+004, 2.1085359E+001, 1.3599650E+002
 2.0790000E+004, 2.1245523E+001, 1.3620629E+002
 2.1420000E+004, 2.1418200E+001, 1.3640692E+002
 2.2050000E+004, 2.1603313E+001, 1.3659903E+002
 2.2680000E+004, 2.1800736E+001, 1.3678321E+002
 2.3310000E+004, 2.2010298E+001, 1.3696000E+002
 2.3940000E+004, 2.2231793E+001, 1.3712987E+002
 2.4570000E+004, 2.2464981E+001, 1.3729327E+002
 2.5200000E+004, 2.2709598E+001, 1.3745060E+002
 2.5830000E+004, 2.2965355E+001, 1.3760223E+002
 2.6460000E+004, 2.3231946E+001, 1.3774850E+002
 2.7090000E+004, 2.3509049E+001, 1.3788971E+002
 2.7720000E+004, 2.3796332E+001, 1.3802616E+002
 2.8350000E+004, 2.4093454E+001, 1.3815810E+002
 2.8980000E+004, 2.4400069E+001, 1.3828579E+002
 2.9610000E+004, 2.4715827E+001, 1.3840945E+002
 3.0240000E+004, 2.5040376E+001, 1.3852930E+002
 3.0870000E+004, 2.5373367E+001, 1.3864552E+002
 3.1500000E+004, 2.5714449E+001, 1.3875830E+002
 3.2130000E+004, 2.6063277E+001, 1.3886781E+002
 3.2760000E+004, 2.6419509E+001, 1.3897421E+002
 3.3390000E+004, 2.6782810E+001, 1.3907766E+002
 3.4020000E+004, 2.7152849E+001, 1.3917828E+002
 3.4650000E+004, 2.7529303E+001, 1.3927621E+002
 3.5280000E+004, 2.7911855E+001, 1.3937158E+002
 3.5910000E+004, 2.8300196E+001, 1.3946450E+002
 3.6540000E+004, 2.8694027E+001, 1.3955508E+002
 3.7170000E+004, 2.9093055E+001, 1.3964343E+002
 3.7800000E+004, 2.9496996E+001, 1.3972963E+002
 3.8430000E+004, 2.9905574E+001, 1.3981379E+002
 3.9060000E+004, 3.0318522E+001, 1.3989598E+002
 3.9690000E+004, 3.0735582E+001, 1.3997630E+002
 4.0320000E+004, 3.1156505E+001, 1.4005481E+002
 4.0950000E+004, 3.1581048E+001, 1.4013161E+002
 4.1580000E+004, 3.2008980E+001, 1.4020674E+002
 4.2210000E+004, 3.2440075E+001, 1.4028028E+002
 4.2840000E+004, 3.2874116E+001, 1.4035230E+002
 4.3470000E+004, 3.3310896E+001, 1.4042285E+002
 4.4100000E+004, 3.3750213E+001, 1.4049200E+002
 4.4730000E+004, 3.4191874E+001, 1.4055979E+002
 4.5360000E+004, 3.4635694E+001, 1.4062627E+002
 4.5990000E+004, 3.5081494E+001, 1.4069150E+002
 4.6620000E+004, 3.5529102E+001, 1.4075553E+002
 4.7250000E+004, 3.5978354E+001, 1.4081840E+002
 4.7880000E+004, 3.6429092E+001, 1.4088014E+002
 4.8510000E+004, 3.6881164E+001, 1.4094082E+002
 4.9140000E+004, 3.7334425E+001, 1.4100045E+002
