s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5216278E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.5216278E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1895870E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.1895870E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3049414E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.3049414E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7725289E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.7725289E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4033097E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.4033097E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1268094E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1268094E-003, 0.0000000E+000, 0.0000000E+000
 4.4100000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9093066E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.9093066E-003, 0.0000000E+000, 0.0000000E+000
 5.0400000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7322159E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.7322159E-003, 0.0000000E+000, 0.0000000E+000
 5.6700000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5842917E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5842917E-003, 0.0000000E+000, 0.0000000E+000
 6.3000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4582592E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.4582592E-003, 0.0000000E+000, 0.0000000E+000
 6.9300000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3491680E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3491680E-003, 0.0000000E+000, 0.0000000E+000
 7.5600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2535127E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2535127E-003, 0.0000000E+000, 0.0000000E+000
 8.1900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1687305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1687305E-003, 0.0000000E+000, 0.0000000E+000
 8.8200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0928971E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0928971E-003, 0.0000000E+000, 0.0000000E+000
 9.4500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0245352E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0245352E-003, 0.0000000E+000, 0.0000000E+000
 1.0080000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9624891E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9624891E-003, 0.0000000E+000, 0.0000000E+000
 1.0710000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9058394E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9058394E-003, 0.0000000E+000, 0.0000000E+000
 1.1340000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8538443E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8538443E-003, 0.0000000E+000, 0.0000000E+000
 1.1970000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8058977E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8058977E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7614988E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7614988E-003, 0.0000000E+000, 0.0000000E+000
 1.3230000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7202296E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7202296E-003, 0.0000000E+000, 0.0000000E+000
 1.3860000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6817382E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6817382E-003, 0.0000000E+000, 0.0000000E+000
 1.4490000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6457256E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6457256E-003, 0.0000000E+000, 0.0000000E+000
 1.5120000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6119362E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6119362E-003, 0.0000000E+000, 0.0000000E+000
 1.5750000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5801500E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5801500E-003, 0.0000000E+000, 0.0000000E+000
 1.6380000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5501762E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5501762E-003, 0.0000000E+000, 0.0000000E+000
 1.7010000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5218486E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5218486E-003, 0.0000000E+000, 0.0000000E+000
 1.7640000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4950216E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4950216E-003, 0.0000000E+000, 0.0000000E+000
 1.8270000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4695670E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4695670E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4453716E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4453716E-003, 0.0000000E+000, 0.0000000E+000
 1.9530000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4223347E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4223347E-003, 0.0000000E+000, 0.0000000E+000
 2.0160000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4003666E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4003666E-003, 0.0000000E+000, 0.0000000E+000
 2.0790000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3793870E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3793870E-003, 0.0000000E+000, 0.0000000E+000
 2.1420000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3593239E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3593239E-003, 0.0000000E+000, 0.0000000E+000
 2.2050000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3401122E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3401122E-003, 0.0000000E+000, 0.0000000E+000
 2.2680000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3216934E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3216934E-003, 0.0000000E+000, 0.0000000E+000
 2.3310000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3040142E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3040142E-003, 0.0000000E+000, 0.0000000E+000
 2.3940000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2870263E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2870263E-003, 0.0000000E+000, 0.0000000E+000
 2.4570000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2706857E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2706857E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2549521E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2549521E-003, 0.0000000E+000, 0.0000000E+000
 2.5830000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2397887E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2397887E-003, 0.0000000E+000, 0.0000000E+000
 2.6460000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2251616E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2251616E-003, 0.0000000E+000, 0.0000000E+000
 2.7090000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2110399E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2110399E-003, 0.0000000E+000, 0.0000000E+000
 2.7720000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1973948E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1973948E-003, 0.0000000E+000, 0.0000000E+000
 2.8350000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1841998E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1841998E-003, 0.0000000E+000, 0.0000000E+000
 2.8980000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1714305E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1714305E-003, 0.0000000E+000, 0.0000000E+000
 2.9610000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1590642E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1590642E-003, 0.0000000E+000, 0.0000000E+000
 3.0240000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1470796E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1470796E-003, 0.0000000E+000, 0.0000000E+000
 3.0870000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1354573E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1354573E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1241790E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1241790E-003, 0.0000000E+000, 0.0000000E+000
 3.2130000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1132275E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1132275E-003, 0.0000000E+000, 0.0000000E+000
 3.2760000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1025870E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1025870E-003, 0.0000000E+000, 0.0000000E+000
 3.3390000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0922424E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0922424E-003, 0.0000000E+000, 0.0000000E+000
 3.4020000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0821799E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0821799E-003, 0.0000000E+000, 0.0000000E+000
 3.4650000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0723863E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0723863E-003, 0.0000000E+000, 0.0000000E+000
 3.5280000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0628492E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0628492E-003, 0.0000000E+000, 0.0000000E+000
 3.5910000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0535570E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0535570E-003, 0.0000000E+000, 0.0000000E+000
 3.6540000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0444988E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0444988E-003, 0.0000000E+000, 0.0000000E+000
 3.7170000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0356643E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0356643E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0270438E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0270438E-003, 0.0000000E+000, 0.0000000E+000
 3.8430000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0186281E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0186281E-003, 0.0000000E+000, 0.0000000E+000
 3.9060000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0104084E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0104084E-003, 0.0000000E+000, 0.0000000E+000
 3.9690000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0023765E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0023765E-003, 0.0000000E+000, 0.0000000E+000
 4.0320000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9452469E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9452469E-004, 0.0000000E+000, 0.0000000E+000
 4.0950000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8684551E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8684551E-004, 0.0000000E+000, 0.0000000E+000
 4.1580000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7933196E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7933196E-004, 0.0000000E+000, 0.0000000E+000
 4.2210000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7197739E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7197739E-004, 0.0000000E+000, 0.0000000E+000
 4.2840000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6477545E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6477545E-004, 0.0000000E+000, 0.0000000E+000
 4.3470000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5772014E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5772014E-004, 0.0000000E+000, 0.0000000E+000
 4.4100000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5080572E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5080572E-004, 0.0000000E+000, 0.0000000E+000
