,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-01T17:43:32.261+03:00,   0.100E+01,   1.00000,   0.12500
      2,2020-11-01T17:43:32.261+03:00,   0.100E+01,   2.00000,   0.12500
      3,2020-11-01T17:43:32.261+03:00,   0.100E+01,   3.00000,   0.12500
      4,2020-11-01T17:43:32.261+03:00,   0.100E+01,   4.00000,   0.12500
      5,2020-11-01T17:43:32.261+03:00,   0.100E+01,   5.00000,   0.12500
      6,2020-11-01T17:43:32.261+03:00,   0.100E+01,   6.00000,   0.12500
      7,2020-11-01T17:43:32.261+03:00,   0.100E+01,   7.00000,   0.12500
      8,2020-11-01T17:43:32.261+03:00,   0.100E+01,   8.00000,   0.12500
      9,2020-11-01T17:43:32.261+03:00,   0.100E+01,   9.00000,   0.12500
     10,2020-11-01T17:43:32.261+03:00,   0.100E+01,  10.00000,   0.12500
     20,2020-11-01T17:43:32.261+03:00,   0.100E+01,  20.00000,   0.12500
     30,2020-11-01T17:43:32.277+03:00,   0.100E+01,  30.00000,   0.15625
     40,2020-11-01T17:43:32.277+03:00,   0.100E+01,  40.00000,   0.15625
     50,2020-11-01T17:43:32.277+03:00,   0.100E+01,  50.00000,   0.15625
     60,2020-11-01T17:43:32.277+03:00,   0.100E+01,  60.00000,   0.15625
     70,2020-11-01T17:43:32.277+03:00,   0.100E+01,  70.00000,   0.15625
     80,2020-11-01T17:43:32.293+03:00,   0.100E+01,  80.00000,   0.18750
     90,2020-11-01T17:43:32.293+03:00,   0.100E+01,  90.00000,   0.18750
    100,2020-11-01T17:43:32.293+03:00,   0.100E+01, 100.00000,   0.18750
    200,2020-11-01T17:43:32.308+03:00,   0.100E+01, 200.00000,   0.21875
    300,2020-11-01T17:43:32.324+03:00,   0.100E+01, 300.00000,   0.25000
    400,2020-11-01T17:43:32.355+03:00,   0.100E+01, 400.00000,   0.31250
    500,2020-11-01T17:43:32.371+03:00,   0.100E+01, 500.00000,   0.34375
    600,2020-11-01T17:43:32.402+03:00,   0.100E+01, 600.00000,   0.40625
    700,2020-11-01T17:43:32.418+03:00,   0.100E+01, 700.00000,   0.43750
    800,2020-11-01T17:43:32.433+03:00,   0.100E+01, 800.00000,   0.46875
    900,2020-11-01T17:43:32.465+03:00,   0.100E+01, 900.00000,   0.53125
   1000,2020-11-01T17:43:32.480+03:00,   0.100E+01,1000.00000,   0.56250
   1100,2020-11-01T17:43:32.496+03:00,   0.100E+01,1100.00000,   0.59375
   1200,2020-11-01T17:43:32.511+03:00,   0.100E+01,1200.00000,   0.62500
   1300,2020-11-01T17:43:32.543+03:00,   0.100E+01,1300.00000,   0.68750
   1400,2020-11-01T17:43:32.558+03:00,   0.100E+01,1400.00000,   0.71875
   1500,2020-11-01T17:43:32.574+03:00,   0.100E+01,1500.00000,   0.75000
   1600,2020-11-01T17:43:32.610+03:00,   0.100E+01,1600.00000,   0.81250
   1700,2020-11-01T17:43:32.631+03:00,   0.100E+01,1700.00000,   0.87500
   1800,2020-11-01T17:43:32.652+03:00,   0.100E+01,1800.00000,   0.90625
   1900,2020-11-01T17:43:32.673+03:00,   0.100E+01,1900.00000,   0.93750
   2000,2020-11-01T17:43:32.695+03:00,   0.100E+01,2000.00000,   1.00000
   2100,2020-11-01T17:43:32.715+03:00,   0.100E+01,2100.00000,   1.03125
   2200,2020-11-01T17:43:32.736+03:00,   0.100E+01,2200.00000,   1.06250
   2300,2020-11-01T17:43:32.757+03:00,   0.100E+01,2300.00000,   1.12500
   2400,2020-11-01T17:43:32.778+03:00,   0.100E+01,2400.00000,   1.15625
   2500,2020-11-01T17:43:32.799+03:00,   0.100E+01,2500.00000,   1.18750
   2600,2020-11-01T17:43:32.820+03:00,   0.100E+01,2600.00000,   1.25000
   2700,2020-11-01T17:43:32.841+03:00,   0.100E+01,2700.00000,   1.28125
   2800,2020-11-01T17:43:32.862+03:00,   0.100E+01,2800.00000,   1.31250
   2900,2020-11-01T17:43:32.883+03:00,   0.100E+01,2900.00000,   1.37500
