s,C,C
Time,"Back","Front"
 0.0000000E+000, 2.0000000E+001, 2.0000000E+001
 2.5000000E+000, 2.0000000E+001, 4.0048728E+001
 4.5000000E+000, 2.0000001E+001, 5.0908712E+001
 6.5000000E+000, 2.0000019E+001, 5.6237479E+001
 9.0000000E+000, 2.0000144E+001, 6.0572918E+001
 1.1000000E+001, 2.0000595E+001, 6.3928989E+001
 1.3000000E+001, 2.0001634E+001, 6.6353520E+001
 1.5500000E+001, 2.0004137E+001, 6.8659378E+001
 1.7500000E+001, 2.0008727E+001, 7.0656814E+001
 1.9500000E+001, 2.0015438E+001, 7.2221372E+001
 2.1500000E+001, 2.0025362E+001, 7.3629879E+001
 2.4000000E+001, 2.0041434E+001, 7.5056891E+001
 2.6000000E+001, 2.0063405E+001, 7.6350644E+001
 2.8000000E+001, 2.0089033E+001, 7.7398996E+001
 3.0500000E+001, 2.0125678E+001, 7.8479992E+001
 3.2500000E+001, 2.0170962E+001, 7.9474916E+001
 3.4500000E+001, 2.0219547E+001, 8.0291996E+001
 3.6500000E+001, 2.0276355E+001, 8.1054183E+001
 3.9000000E+001, 2.0350833E+001, 8.1852239E+001
 4.1000000E+001, 2.0436329E+001, 8.2597355E+001
 4.3000000E+001, 2.0522441E+001, 8.3217604E+001
 4.5500000E+001, 2.0630979E+001, 8.3873170E+001
 4.7500000E+001, 2.0751362E+001, 8.4490716E+001
 4.9500000E+001, 2.0868992E+001, 8.5009111E+001
 5.1500000E+001, 2.0996457E+001, 8.5501962E+001
 5.4000000E+001, 2.1151813E+001, 8.6028101E+001
 5.6000000E+001, 2.1319042E+001, 8.6528406E+001
 5.8000000E+001, 2.1478126E+001, 8.6952111E+001
 6.0500000E+001, 2.1668644E+001, 8.7407196E+001
 6.2500000E+001, 2.1870494E+001, 8.7842414E+001
 6.4500000E+001, 2.2059766E+001, 8.8212976E+001
 6.6500000E+001, 2.2257904E+001, 8.8569619E+001
 6.9000000E+001, 2.2491315E+001, 8.8955101E+001
 7.1000000E+001, 2.2734914E+001, 8.9325945E+001
 7.3000000E+001, 2.2960209E+001, 8.9643459E+001
 7.5500000E+001, 2.3223159E+001, 8.9987972E+001
 7.7500000E+001, 2.3495254E+001, 9.0320606E+001
 7.9500000E+001, 2.3744929E+001, 9.0606379E+001
 8.2000000E+001, 2.4034223E+001, 9.0917447E+001
 8.4000000E+001, 2.4331569E+001, 9.1218703E+001
 8.6000000E+001, 2.4602717E+001, 9.1478265E+001
 8.8000000E+001, 2.4879889E+001, 9.1730665E+001
 9.0500000E+001, 2.5198700E+001, 9.2006363E+001
 9.2500000E+001, 2.5524159E+001, 9.2274251E+001
 9.4500000E+001, 2.5819066E+001, 9.2505796E+001
 9.7000000E+001, 2.6156797E+001, 9.2759285E+001
 9.9000000E+001, 2.6500167E+001, 9.3006128E+001
 1.0100000E+002, 2.6810118E+001, 9.3219927E+001
 1.0300000E+002, 2.7124188E+001, 9.3428794E+001
 1.0550000E+002, 2.7482239E+001, 9.3658044E+001
 1.0750000E+002, 2.7844727E+001, 9.3881838E+001
 1.0950000E+002, 2.8170635E+001, 9.4076139E+001
 1.1200000E+002, 2.8541155E+001, 9.4289773E+001
 1.1400000E+002, 2.8915292E+001, 9.4498675E+001
 1.1600000E+002, 2.9250850E+001, 9.4680344E+001
 1.1800000E+002, 2.9588973E+001, 9.4858463E+001
 1.2050000E+002, 2.9972257E+001, 9.5054707E+001
 1.2250000E+002, 3.0358215E+001, 9.5246985E+001
 1.2450000E+002, 3.0703476E+001, 9.5414522E+001
 1.2700000E+002, 3.1094139E+001, 9.5599369E+001
 1.2900000E+002, 3.1486851E+001, 9.5780732E+001
 1.3100000E+002, 3.1837583E+001, 9.5938972E+001
 1.3300000E+002, 3.2189695E+001, 9.6094578E+001
 1.3550000E+002, 3.2587330E+001, 9.6266551E+001
 1.3750000E+002, 3.2986312E+001, 9.6435561E+001
 1.3950000E+002, 3.3342019E+001, 9.6583260E+001
 1.4200000E+002, 3.3743219E+001, 9.6746688E+001
 1.4400000E+002, 3.4145307E+001, 9.6907485E+001
 1.4600000E+002, 3.4503386E+001, 9.7048165E+001
 1.4850000E+002, 3.4906839E+001, 9.7203995E+001
 1.5050000E+002, 3.5310781E+001, 9.7357480E+001
 1.5250000E+002, 3.5670171E+001, 9.7491901E+001
 1.5450000E+002, 3.6029774E+001, 9.7624533E+001
 1.5700000E+002, 3.6434480E+001, 9.7771639E+001
 1.5900000E+002, 3.6839236E+001, 9.7916715E+001
 1.6100000E+002, 3.7198978E+001, 9.8043927E+001
 1.6350000E+002, 3.7603545E+001, 9.8185150E+001
 1.6550000E+002, 3.8007880E+001, 9.8324545E+001
 1.6750000E+002, 3.8367009E+001, 9.8446881E+001
