s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000
 6.3000000E+002, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4181702E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.4181702E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0858691E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-5.0858691E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2066134E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2066134E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6832539E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.6832539E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3220448E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.3220448E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0503496E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.0503496E-003, 0.0000000E+000, 0.0000000E+000
 4.4100000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8355840E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.8355840E-003, 0.0000000E+000, 0.0000000E+000
 5.0400000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6605290E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.6605290E-003, 0.0000000E+000, 0.0000000E+000
 5.6700000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5146956E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.5146956E-003, 0.0000000E+000, 0.0000000E+000
 6.3000000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3910480E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.3910480E-003, 0.0000000E+000, 0.0000000E+000
 6.9300000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2845977E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.2845977E-003, 0.0000000E+000, 0.0000000E+000
 7.5600000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1916991E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1916991E-003, 0.0000000E+000, 0.0000000E+000
 8.1900000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1096411E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.1096411E-003, 0.0000000E+000, 0.0000000E+000
 8.8200000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0363825E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-2.0363825E-003, 0.0000000E+000, 0.0000000E+000
 9.4500000E+003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9703705E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9703705E-003, 0.0000000E+000, 0.0000000E+000
 1.0080000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9104116E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.9104116E-003, 0.0000000E+000, 0.0000000E+000
 1.0710000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8555784E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8555784E-003, 0.0000000E+000, 0.0000000E+000
 1.1340000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8051418E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.8051418E-003, 0.0000000E+000, 0.0000000E+000
 1.1970000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7585211E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7585211E-003, 0.0000000E+000, 0.0000000E+000
 1.2600000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7152480E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.7152480E-003, 0.0000000E+000, 0.0000000E+000
 1.3230000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6749393E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6749393E-003, 0.0000000E+000, 0.0000000E+000
 1.3860000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6372775E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6372775E-003, 0.0000000E+000, 0.0000000E+000
 1.4490000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6019956E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.6019956E-003, 0.0000000E+000, 0.0000000E+000
 1.5120000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5688667E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5688667E-003, 0.0000000E+000, 0.0000000E+000
 1.5750000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5376952E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5376952E-003, 0.0000000E+000, 0.0000000E+000
 1.6380000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5083111E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.5083111E-003, 0.0000000E+000, 0.0000000E+000
 1.7010000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4805648E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4805648E-003, 0.0000000E+000, 0.0000000E+000
 1.7640000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4543240E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4543240E-003, 0.0000000E+000, 0.0000000E+000
 1.8270000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4294707E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4294707E-003, 0.0000000E+000, 0.0000000E+000
 1.8900000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4058988E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.4058988E-003, 0.0000000E+000, 0.0000000E+000
 1.9530000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3835126E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3835126E-003, 0.0000000E+000, 0.0000000E+000
 2.0160000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3622254E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3622254E-003, 0.0000000E+000, 0.0000000E+000
 2.0790000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3419583E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3419583E-003, 0.0000000E+000, 0.0000000E+000
 2.1420000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3226393E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3226393E-003, 0.0000000E+000, 0.0000000E+000
 2.2050000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3042027E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.3042027E-003, 0.0000000E+000, 0.0000000E+000
 2.2680000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2865879E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2865879E-003, 0.0000000E+000, 0.0000000E+000
 2.3310000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2697397E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2697397E-003, 0.0000000E+000, 0.0000000E+000
 2.3940000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2536069E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2536069E-003, 0.0000000E+000, 0.0000000E+000
 2.4570000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2381426E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2381426E-003, 0.0000000E+000, 0.0000000E+000
 2.5200000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2233034E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2233034E-003, 0.0000000E+000, 0.0000000E+000
 2.5830000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2090493E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.2090493E-003, 0.0000000E+000, 0.0000000E+000
 2.6460000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1953434E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1953434E-003, 0.0000000E+000, 0.0000000E+000
 2.7090000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1821513E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1821513E-003, 0.0000000E+000, 0.0000000E+000
 2.7720000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1694415E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1694415E-003, 0.0000000E+000, 0.0000000E+000
 2.8350000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1571846E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1571846E-003, 0.0000000E+000, 0.0000000E+000
 2.8980000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1453533E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1453533E-003, 0.0000000E+000, 0.0000000E+000
 2.9610000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1339225E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1339225E-003, 0.0000000E+000, 0.0000000E+000
 3.0240000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1228687E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1228687E-003, 0.0000000E+000, 0.0000000E+000
 3.0870000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1121700E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1121700E-003, 0.0000000E+000, 0.0000000E+000
 3.1500000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1018063E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.1018063E-003, 0.0000000E+000, 0.0000000E+000
 3.2130000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0917587E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0917587E-003, 0.0000000E+000, 0.0000000E+000
 3.2760000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0820097E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0820097E-003, 0.0000000E+000, 0.0000000E+000
 3.3390000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0725428E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0725428E-003, 0.0000000E+000, 0.0000000E+000
 3.4020000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0633429E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0633429E-003, 0.0000000E+000, 0.0000000E+000
 3.4650000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0543957E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0543957E-003, 0.0000000E+000, 0.0000000E+000
 3.5280000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0456880E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0456880E-003, 0.0000000E+000, 0.0000000E+000
 3.5910000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0372074E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0372074E-003, 0.0000000E+000, 0.0000000E+000
 3.6540000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0289422E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0289422E-003, 0.0000000E+000, 0.0000000E+000
 3.7170000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0208816E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0208816E-003, 0.0000000E+000, 0.0000000E+000
 3.7800000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0130155E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0130155E-003, 0.0000000E+000, 0.0000000E+000
 3.8430000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0053343E-003, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-1.0053343E-003, 0.0000000E+000, 0.0000000E+000
 3.9060000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9782920E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9782920E-004, 0.0000000E+000, 0.0000000E+000
 3.9690000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9049172E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.9049172E-004, 0.0000000E+000, 0.0000000E+000
 4.0320000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8331405E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.8331405E-004, 0.0000000E+000, 0.0000000E+000
 4.0950000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7628882E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.7628882E-004, 0.0000000E+000, 0.0000000E+000
 4.1580000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6940908E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6940908E-004, 0.0000000E+000, 0.0000000E+000
 4.2210000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6266832E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.6266832E-004, 0.0000000E+000, 0.0000000E+000
 4.2840000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5606040E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.5606040E-004, 0.0000000E+000, 0.0000000E+000
 4.3470000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4957954E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4957954E-004, 0.0000000E+000, 0.0000000E+000
 4.4100000E+004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4322028E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-9.4322028E-004, 0.0000000E+000, 0.0000000E+000
