,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2020-11-01T16:47:22.882+03:00,   0.100E+01,   1.00000,   0.42188
      2,2020-11-01T16:47:22.884+03:00,   0.100E+01,   2.00000,   0.42188
      3,2020-11-01T16:47:22.884+03:00,   0.100E+01,   3.00000,   0.42188
      4,2020-11-01T16:47:22.885+03:00,   0.100E+01,   4.00000,   0.42188
      5,2020-11-01T16:47:22.885+03:00,   0.100E+01,   5.00000,   0.42188
      6,2020-11-01T16:47:22.885+03:00,   0.100E+01,   6.00000,   0.42188
      7,2020-11-01T16:47:22.886+03:00,   0.100E+01,   7.00000,   0.42188
      8,2020-11-01T16:47:22.886+03:00,   0.100E+01,   8.00000,   0.42188
      9,2020-11-01T16:47:22.887+03:00,   0.100E+01,   9.00000,   0.42188
     10,2020-11-01T16:47:22.887+03:00,   0.100E+01,  10.00000,   0.42188
     20,2020-11-01T16:47:22.889+03:00,   0.100E+01,  20.00000,   0.42188
     30,2020-11-01T16:47:22.891+03:00,   0.100E+01,  30.00000,   0.42188
     40,2020-11-01T16:47:22.894+03:00,   0.100E+01,  40.00000,   0.42188
     50,2020-11-01T16:47:22.896+03:00,   0.100E+01,  50.00000,   0.45312
     60,2020-11-01T16:47:22.898+03:00,   0.100E+01,  60.00000,   0.45312
     70,2020-11-01T16:47:22.900+03:00,   0.100E+01,  70.00000,   0.45312
     80,2020-11-01T16:47:22.902+03:00,   0.100E+01,  80.00000,   0.45312
     90,2020-11-01T16:47:22.904+03:00,   0.100E+01,  90.00000,   0.45312
    100,2020-11-01T16:47:22.906+03:00,   0.100E+01, 100.00000,   0.45312
    200,2020-11-01T16:47:22.924+03:00,   0.100E+01, 200.00000,   0.48438
    300,2020-11-01T16:47:22.941+03:00,   0.100E+01, 300.00000,   0.51562
    400,2020-11-01T16:47:22.958+03:00,   0.100E+01, 400.00000,   0.57812
    500,2020-11-01T16:47:22.976+03:00,   0.100E+01, 500.00000,   0.60938
    600,2020-11-01T16:47:22.993+03:00,   0.100E+01, 600.00000,   0.64062
    700,2020-11-01T16:47:23.011+03:00,   0.100E+01, 700.00000,   0.67188
    800,2020-11-01T16:47:23.028+03:00,   0.100E+01, 800.00000,   0.70312
    900,2020-11-01T16:47:23.045+03:00,   0.100E+01, 900.00000,   0.73438
   1000,2020-11-01T16:47:23.063+03:00,   0.100E+01,1000.00000,   0.76562
   1100,2020-11-01T16:47:23.080+03:00,   0.100E+01,1100.00000,   0.79688
   1200,2020-11-01T16:47:23.097+03:00,   0.100E+01,1200.00000,   0.82812
   1300,2020-11-01T16:47:23.115+03:00,   0.100E+01,1300.00000,   0.89062
   1400,2020-11-01T16:47:23.132+03:00,   0.100E+01,1400.00000,   0.92188
   1500,2020-11-01T16:47:23.149+03:00,   0.100E+01,1500.00000,   0.95312
   1600,2020-11-01T16:47:23.167+03:00,   0.100E+01,1600.00000,   0.98438
