s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-4.2789635E-005, 7.9299601E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-4.2788842E-005, 0.0000000E+000, 0.0000000E+000
 7.8567423E-002, 4.4714753E-001, 7.7437247E-004,-2.6540647E-002, 1.9665235E-002, 1.7557614E-003, 0.0000000E+000, 0.0000000E+000, 7.0890079E-003, 4.4280225E-001, 4.7011072E-005, 4.7011072E-005
 1.1785113E-001, 2.4837109E-005, 6.9653352E-004, 1.0901620E-001, 4.0682235E-002, 5.4263401E-003, 0.0000000E+000, 0.0000000E+000, 8.7400968E-001, 1.5584615E-001, 9.3733585E-005, 9.3733585E-005
 1.5713485E-001, 9.3006140E+000,-4.6288710E-002, 8.9875219E-002, 6.0833303E-002, 8.1361683E-003, 0.0000000E+000, 0.0000000E+000, 1.4228965E-001, 9.4131699E+000, 1.2453290E-004, 1.2453290E-004
 1.9641855E-001, 6.7861315E+000,-5.8322046E-001, 2.3035350E-001,-1.2419593E-003, 1.9030588E-002, 0.0000000E+000, 0.0000000E+000, 9.3683844E+000, 6.4510532E+000, 1.5495757E-004, 1.5495757E-004
 2.3570226E-001, 1.2141072E+001,-2.2024218E+000, 9.2063881E-002,-4.7374082E-002, 2.5742350E-002, 0.0000000E+000, 0.0000000E+000, 6.4375532E+000, 1.0009083E+001, 1.8492240E-004, 1.8492240E-004
 2.7498597E-001, 7.4851945E+000,-1.0698213E+001, 1.4964092E-001,-2.2553484E-001, 4.1875971E-002, 0.0000000E+000, 0.0000000E+000, 9.6937542E+000,-3.2470360E+000, 2.1434756E-004, 2.1434756E-004
 3.0897719E-001, 1.0287634E+001,-3.3220176E+000, 1.3068061E-001,-7.5411380E-002, 4.2509799E-002, 0.0000000E+000, 0.0000000E+000,-3.2130459E+000, 7.0633952E+000, 2.3931592E-004, 2.3931592E-004
 3.4296840E-001, 9.4474385E+000,-8.0588281E+000, 3.0122285E-001,-1.9117560E-001, 5.7675309E-002, 0.0000000E+000, 0.0000000E+000, 6.9263095E+000, 1.5563329E+000, 2.6378121E-004, 2.6378121E-004
