m,C,m,m/s,m,kW/m2
tmp-z,tmp,vel-z,vel,rhf-x,rhf
 0.0000000E+000, 8.7338129E+002, 0.0000000E+000, 3.9700738E-002, 2.0000000E-001, 4.9346430E+000
 5.1724138E-002, 9.1375840E+002, 5.1724138E-002, 1.0216190E+000, 2.2412069E-001, 4.9346430E+000
 1.0344828E-001, 8.8486990E+002, 1.0344828E-001, 1.8072666E+000, 2.4824138E-001, 4.9346430E+000
 1.5517241E-001, 8.5588559E+002, 1.5517241E-001, 2.3740220E+000, 2.7236207E-001, 3.5585573E+000
 2.0689655E-001, 8.2634673E+002, 2.0689655E-001, 2.7679129E+000, 2.9648276E-001, 3.5585573E+000
 2.5862069E-001, 7.9101396E+002, 2.5862069E-001, 3.0432677E+000, 3.2060345E-001, 2.6507633E+000
 3.1034483E-001, 7.4353414E+002, 3.1034483E-001, 3.2247210E+000, 3.4472414E-001, 2.6507633E+000
 3.6206897E-001, 6.8592589E+002, 3.6206897E-001, 3.3342748E+000, 3.6884483E-001, 2.0187215E+000
 4.1379310E-001, 6.2355154E+002, 4.1379310E-001, 3.3929774E+000, 3.9296552E-001, 2.0187215E+000
 4.6551724E-001, 5.6041653E+002, 4.6551724E-001, 3.4190464E+000, 4.1708621E-001, 1.5625337E+000
 5.1724138E-001, 5.0074144E+002, 5.1724138E-001, 3.4194074E+000, 4.4120690E-001, 1.5625337E+000
 5.6896552E-001, 4.4831330E+002, 5.6896552E-001, 3.4082244E+000, 4.6532759E-001, 1.2249705E+000
 6.2068966E-001, 4.0268736E+002, 6.2068966E-001, 3.3845244E+000, 4.8944828E-001, 1.2249705E+000
 6.7241379E-001, 3.6422777E+002, 6.7241379E-001, 3.3688567E+000, 5.1356897E-001, 9.7058102E-001
 7.2413793E-001, 3.3102862E+002, 7.2413793E-001, 3.3450376E+000, 5.3768966E-001, 9.7058102E-001
 7.7586207E-001, 3.0342745E+002, 7.7586207E-001, 3.3062839E+000, 5.6181034E-001, 7.7608918E-001
 8.2758621E-001, 2.7879991E+002, 8.2758621E-001, 3.2784267E+000, 5.8593103E-001, 7.7608918E-001
 8.7931034E-001, 2.5832775E+002, 8.7931034E-001, 3.2371078E+000, 6.1005172E-001, 6.2558013E-001
 9.3103448E-001, 2.4020162E+002, 9.3103448E-001, 3.1981189E+000, 6.3417241E-001, 6.2558013E-001
 9.8275862E-001, 2.2570110E+002, 9.8275862E-001, 3.1695410E+000, 6.5829310E-001, 5.0786459E-001
 1.0344828E+000, 2.1260017E+002, 1.0344828E+000, 3.1479360E+000, 6.8241379E-001, 5.0786459E-001
 1.0862069E+000, 2.0149797E+002, 1.0862069E+000, 3.1375743E+000, 7.0653448E-001, 4.1491760E-001
 1.1379310E+000, 1.9084254E+002, 1.1379310E+000, 3.1290035E+000, 7.3065517E-001, 4.1491760E-001
 1.1896552E+000, 1.8132356E+002, 1.1896552E+000, 3.1152670E+000, 7.5477586E-001, 3.4089496E-001
 1.2413793E+000, 1.7202445E+002, 1.2413793E+000, 3.1046924E+000, 7.7889655E-001, 3.4089496E-001
 1.2931034E+000, 1.6416446E+002, 1.2931034E+000, 3.0736707E+000, 8.0301724E-001, 2.8148620E-001
 1.3448276E+000, 1.5581233E+002, 1.3448276E+000, 3.0528253E+000, 8.2713793E-001, 2.8148620E-001
 1.3965517E+000, 1.4978229E+002, 1.3965517E+000, 3.0161775E+000, 8.5125862E-001, 2.3347340E-001
 1.4482759E+000, 1.4246284E+002, 1.4482759E+000, 3.0059872E+000, 8.7537931E-001, 2.3347340E-001
 1.4995000E+000, 1.3629769E+002, 1.4995000E+000, 2.9549511E+000, 8.9950000E-001, 2.3347340E-001
