s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-1.513E-02,-9.814E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.513E-02, 0.000E+00, 0.000E+00
 1.019E+01, 1.830E+01,-6.142E+00, 8.504E-02,-2.712E-01, 4.451E-02, 0.000E+00, 0.000E+00, 1.156E+01, 1.202E+01, 1.215E-03, 1.215E-03
 2.008E+01, 6.803E+01,-1.249E+01,-4.502E-01,-2.607E-01, 6.433E-02, 0.000E+00, 0.000E+00, 5.442E+01, 5.488E+01, 1.262E-03, 1.262E-03
 3.006E+01, 7.012E+01,-1.224E+01,-5.507E-01,-3.407E-01, 6.796E-02, 0.000E+00, 0.000E+00, 5.688E+01, 5.706E+01, 1.262E-03, 1.262E-03
 4.001E+01, 6.363E+01,-1.121E+01,-5.302E-01,-3.915E+00, 6.951E-02, 0.000E+00, 0.000E+00, 4.822E+01, 4.805E+01, 1.262E-03, 1.262E-03
 5.006E+01, 6.639E+01,-1.164E+01,-5.199E-01,-5.352E+00, 7.390E-02, 0.000E+00, 0.000E+00, 4.896E+01, 4.896E+01, 1.262E-03, 1.262E-03
 6.007E+01, 6.161E+01,-1.106E+01,-4.362E-01,-5.415E+00, 7.202E-02, 0.000E+00, 0.000E+00, 4.452E+01, 4.477E+01, 1.262E-03, 1.262E-03
 7.009E+01, 6.222E+01,-1.096E+01,-4.182E-01,-4.923E+00, 7.119E-02, 0.000E+00, 0.000E+00, 4.591E+01, 4.599E+01, 1.262E-03, 1.262E-03
 8.008E+01, 6.158E+01,-1.107E+01,-4.701E-01,-5.346E+00, 6.932E-02, 0.000E+00, 0.000E+00, 4.476E+01, 4.477E+01, 1.262E-03, 1.262E-03
 9.001E+01, 6.655E+01,-1.211E+01,-4.391E-01,-6.196E+00, 6.710E-02, 0.000E+00, 0.000E+00, 4.761E+01, 4.787E+01, 1.262E-03, 1.262E-03
 1.000E+02, 6.311E+01,-1.137E+01,-4.653E-01,-6.067E+00, 7.259E-02, 0.000E+00, 0.000E+00, 4.526E+01, 4.527E+01, 1.262E-03, 1.262E-03
 1.100E+02, 6.113E+01,-1.118E+01,-4.275E-01,-6.319E+00, 7.311E-02, 0.000E+00, 0.000E+00, 4.320E+01, 4.327E+01, 1.262E-03, 1.262E-03
 1.200E+02, 6.249E+01,-1.155E+01,-4.119E-01,-6.531E+00, 7.146E-02, 0.000E+00, 0.000E+00, 4.399E+01, 4.408E+01, 1.262E-03, 1.262E-03
 1.300E+02, 6.238E+01,-1.176E+01,-4.159E-01,-6.926E+00, 7.231E-02, 0.000E+00, 0.000E+00, 4.309E+01, 4.334E+01, 1.262E-03, 1.262E-03
 1.400E+02, 6.098E+01,-1.160E+01,-3.843E-01,-6.890E+00, 7.126E-02, 0.000E+00, 0.000E+00, 4.193E+01, 4.218E+01, 1.262E-03, 1.262E-03
 1.500E+02, 6.385E+01,-1.191E+01,-5.436E-01,-6.831E+00, 6.869E-02, 0.000E+00, 0.000E+00, 4.507E+01, 4.463E+01, 1.262E-03, 1.262E-03
 1.601E+02, 6.347E+01,-1.221E+01,-4.041E-01,-8.076E+00, 6.776E-02, 0.000E+00, 0.000E+00, 4.269E+01, 4.286E+01, 1.262E-03, 1.262E-03
 1.700E+02, 6.456E+01,-1.233E+01,-4.822E-01,-7.963E+00, 7.189E-02, 0.000E+00, 0.000E+00, 4.401E+01, 4.386E+01, 1.262E-03, 1.262E-03
 1.801E+02, 6.259E+01,-1.211E+01,-4.603E-01,-7.812E+00, 7.297E-02, 0.000E+00, 0.000E+00, 4.214E+01, 4.228E+01, 1.262E-03, 1.262E-03
 1.900E+02, 6.301E+01,-1.244E+01,-4.073E+00,-7.769E+00, 7.095E-02, 0.000E+00, 0.000E+00, 3.864E+01, 3.880E+01, 1.262E-03, 1.262E-03
 2.001E+02, 6.436E+01,-1.271E+01,-6.777E+00,-7.358E+00, 7.182E-02, 0.000E+00, 0.000E+00, 3.731E+01, 3.759E+01, 1.262E-03, 1.262E-03
 2.100E+02, 6.108E+01,-1.204E+01,-7.669E+00,-8.152E+00, 6.880E-02, 0.000E+00, 0.000E+00, 3.321E+01, 3.328E+01, 1.262E-03, 1.262E-03
 2.201E+02, 6.463E+01,-1.294E+01,-8.286E+00,-8.488E+00, 7.154E-02, 0.000E+00, 0.000E+00, 3.522E+01, 3.499E+01, 1.262E-03, 1.262E-03
 2.301E+02, 6.372E+01,-1.286E+01,-6.231E+00,-8.195E+00, 7.244E-02, 0.000E+00, 0.000E+00, 3.625E+01, 3.650E+01, 1.262E-03, 1.262E-03
 2.401E+02, 6.217E+01,-1.258E+01,-6.558E+00,-8.153E+00, 7.074E-02, 0.000E+00, 0.000E+00, 3.493E+01, 3.494E+01, 1.262E-03, 1.262E-03
 2.500E+02, 6.259E+01,-1.282E+01,-5.281E+00,-8.754E+00, 7.270E-02, 0.000E+00, 0.000E+00, 3.578E+01, 3.581E+01, 1.262E-03, 1.262E-03
 2.601E+02, 6.254E+01,-1.299E+01,-7.307E+00,-9.403E+00, 6.823E-02, 0.000E+00, 0.000E+00, 3.279E+01, 3.290E+01, 1.262E-03, 1.262E-03
 2.701E+02, 6.533E+01,-1.354E+01,-7.843E+00,-9.985E+00, 7.021E-02, 0.000E+00, 0.000E+00, 3.397E+01, 3.403E+01, 1.262E-03, 1.262E-03
 2.801E+02, 5.819E+01,-1.234E+01,-1.028E+01,-1.015E+01, 7.038E-02, 0.000E+00, 0.000E+00, 2.545E+01, 2.549E+01, 1.262E-03, 1.262E-03
 2.900E+02, 6.540E+01,-1.378E+01,-1.614E+01,-9.487E+00, 7.078E-02, 0.000E+00, 0.000E+00, 2.595E+01, 2.606E+01, 1.262E-03, 1.262E-03
 3.001E+02, 6.474E+01,-1.362E+01,-1.669E+01,-9.248E+00, 7.079E-02, 0.000E+00, 0.000E+00, 2.526E+01, 2.525E+01, 1.262E-03, 1.262E-03
 3.100E+02, 6.348E+01,-1.368E+01,-2.002E+01,-1.017E+01, 7.388E-02, 0.000E+00, 0.000E+00, 1.974E+01, 1.967E+01, 1.262E-03, 1.262E-03
 3.200E+02, 6.123E+01,-1.325E+01,-1.569E+01,-1.026E+01, 7.392E-02, 0.000E+00, 0.000E+00, 2.208E+01, 2.211E+01, 1.262E-03, 1.262E-03
 3.300E+02, 6.739E+01,-1.445E+01,-1.533E+01,-1.053E+01, 7.674E-02, 0.000E+00, 0.000E+00, 2.741E+01, 2.716E+01, 1.262E-03, 1.262E-03
 3.401E+02, 5.875E+01,-1.329E+01,-1.480E+01,-1.092E+01, 7.390E-02, 0.000E+00, 0.000E+00, 2.009E+01, 1.981E+01, 1.262E-03, 1.262E-03
 3.500E+02, 6.108E+01,-1.374E+01,-1.870E+01,-1.147E+01, 7.029E-02, 0.000E+00, 0.000E+00, 1.683E+01, 1.723E+01, 1.262E-03, 1.262E-03
 3.601E+02, 6.688E+01,-1.453E+01,-1.679E+01,-1.131E+01, 7.522E-02, 0.000E+00, 0.000E+00, 2.416E+01, 2.433E+01, 1.262E-03, 1.262E-03
 3.701E+02, 6.722E+01,-1.504E+01,-1.857E+01,-1.082E+01, 7.418E-02, 0.000E+00, 0.000E+00, 2.230E+01, 2.287E+01, 1.262E-03, 1.262E-03
 3.801E+02, 5.981E+01,-1.365E+01,-2.001E+01,-1.054E+01, 7.903E-02, 0.000E+00, 0.000E+00, 1.629E+01, 1.568E+01, 1.262E-03, 1.262E-03
 3.901E+02, 6.613E+01,-1.459E+01,-1.915E+01,-1.052E+01, 8.011E-02, 0.000E+00, 0.000E+00, 2.143E+01, 2.195E+01, 1.262E-03, 1.262E-03
 4.001E+02, 6.164E+01,-1.430E+01,-1.646E+01,-1.087E+01, 7.902E-02, 0.000E+00, 0.000E+00, 1.917E+01, 2.009E+01, 1.262E-03, 1.262E-03
 4.101E+02, 6.458E+01,-1.454E+01,-1.733E+01,-1.052E+01, 8.208E-02, 0.000E+00, 0.000E+00, 2.213E+01, 2.228E+01, 1.262E-03, 1.262E-03
 4.201E+02, 6.303E+01,-1.449E+01,-2.282E+01,-1.003E+01, 8.432E-02, 0.000E+00, 0.000E+00, 1.587E+01, 1.577E+01, 1.262E-03, 1.262E-03
 4.300E+02, 6.092E+01,-1.410E+01,-2.074E+01,-9.803E+00, 8.032E-02, 0.000E+00, 0.000E+00, 1.691E+01, 1.635E+01, 1.262E-03, 1.262E-03
 4.400E+02, 6.177E+01,-1.436E+01,-2.091E+01,-1.027E+01, 8.026E-02, 0.000E+00, 0.000E+00, 1.608E+01, 1.630E+01, 1.262E-03, 1.262E-03
 4.501E+02, 6.329E+01,-1.461E+01,-2.277E+01,-1.111E+01, 8.646E-02, 0.000E+00, 0.000E+00, 1.480E+01, 1.489E+01, 1.262E-03, 1.262E-03
 4.601E+02, 6.644E+01,-1.524E+01,-2.332E+01,-1.151E+01, 8.893E-02, 0.000E+00, 0.000E+00, 1.666E+01, 1.646E+01, 1.262E-03, 1.262E-03
 4.700E+02, 6.483E+01,-1.512E+01,-2.646E+01,-1.164E+01, 8.739E-02, 0.000E+00, 0.000E+00, 1.143E+01, 1.170E+01, 1.262E-03, 1.262E-03
 4.800E+02, 6.068E+01,-1.421E+01,-2.025E+01,-1.164E+01, 8.634E-02, 0.000E+00, 0.000E+00, 1.517E+01, 1.467E+01, 1.262E-03, 1.262E-03
 4.901E+02, 6.201E+01,-1.486E+01,-2.400E+01,-1.113E+01, 8.649E-02, 0.000E+00, 0.000E+00, 1.213E+01, 1.210E+01, 1.262E-03, 1.262E-03
 5.001E+02, 6.567E+01,-1.537E+01,-2.747E+01,-1.115E+01, 8.671E-02, 0.000E+00, 0.000E+00, 1.171E+01, 1.177E+01, 1.262E-03, 1.262E-03
 5.101E+02, 6.374E+01,-1.503E+01,-2.267E+01,-1.113E+01, 8.455E-02, 0.000E+00, 0.000E+00, 1.505E+01, 1.500E+01, 1.262E-03, 1.262E-03
 5.200E+02, 6.046E+01,-1.430E+01,-2.787E+01,-1.104E+01, 8.536E-02, 0.000E+00, 0.000E+00, 7.426E+00, 7.343E+00, 1.262E-03, 1.262E-03
 5.301E+02, 6.189E+01,-1.481E+01,-2.616E+01,-1.109E+01, 8.577E-02, 0.000E+00, 0.000E+00, 1.021E+01, 9.921E+00, 1.262E-03, 1.262E-03
 5.401E+02, 6.450E+01,-1.529E+01,-2.604E+01,-1.126E+01, 8.511E-02, 0.000E+00, 0.000E+00, 1.214E+01, 1.199E+01, 1.262E-03, 1.262E-03
 5.500E+02, 5.893E+01,-1.449E+01,-2.245E+01,-1.154E+01, 8.405E-02, 0.000E+00, 0.000E+00, 1.088E+01, 1.053E+01, 1.262E-03, 1.262E-03
 5.601E+02, 6.453E+01,-1.537E+01,-2.759E+01,-1.171E+01, 8.474E-02, 0.000E+00, 0.000E+00, 9.856E+00, 9.944E+00, 1.262E-03, 1.262E-03
