m,C,m,m/s,m,m/s,m,m/s,m,m/s
T_door-z,T_door,Vel_door-z,Vel_door,U_door-z,U_door,V_door-z,V_door,W_door-z,W_door
 4.177E-04, 2.906E+01, 4.177E-04, 8.048E-01, 4.177E-04, 7.526E-04, 4.177E-04, 8.272E-01, 4.177E-04,-3.159E-02
 1.300E-01, 2.907E+01, 1.300E-01, 8.190E-01, 1.300E-01,-6.639E-04, 1.300E-01, 8.351E-01, 1.300E-01,-6.971E-02
 2.600E-01, 2.912E+01, 2.600E-01, 7.953E-01, 2.600E-01,-2.304E-02, 2.600E-01, 8.060E-01, 2.600E-01,-1.110E-01
 3.900E-01, 2.918E+01, 3.900E-01, 7.593E-01, 3.900E-01,-2.033E-02, 3.900E-01, 7.597E-01, 3.900E-01,-1.750E-01
 5.200E-01, 2.921E+01, 5.200E-01, 7.118E-01, 5.200E-01,-2.777E-02, 5.200E-01, 6.899E-01, 5.200E-01,-2.412E-01
 6.500E-01, 2.921E+01, 6.500E-01, 6.479E-01, 6.500E-01,-1.789E-02, 6.500E-01, 5.947E-01, 6.500E-01,-2.928E-01
 7.800E-01, 3.182E+01, 7.800E-01, 5.399E-01, 7.800E-01,-3.616E-02, 7.800E-01, 4.644E-01, 7.800E-01,-2.282E-01
 9.100E-01, 5.762E+01, 9.100E-01, 3.336E-01, 9.100E-01,-6.992E-02, 9.100E-01, 5.782E-02, 9.100E-01,-4.433E-02
 1.040E+00, 7.929E+01, 1.040E+00, 5.089E-01, 1.040E+00,-2.064E-02, 1.040E+00,-1.444E-01, 1.040E+00, 1.887E-01
 1.170E+00, 8.737E+01, 1.170E+00, 6.329E-01, 1.170E+00,-2.877E-02, 1.170E+00,-3.361E-01, 1.170E+00, 3.495E-01
 1.300E+00, 9.106E+01, 1.300E+00, 7.283E-01, 1.300E+00, 1.547E-02, 1.300E+00,-4.719E-01, 1.300E+00, 3.296E-01
 1.430E+00, 9.536E+01, 1.430E+00, 8.015E-01, 1.430E+00,-3.434E-02, 1.430E+00,-6.197E-01, 1.430E+00, 1.964E-01
 1.560E+00, 9.982E+01, 1.560E+00, 9.402E-01, 1.560E+00, 3.226E-02, 1.560E+00,-7.987E-01, 1.560E+00, 2.422E-02
 1.690E+00, 1.020E+02, 1.690E+00, 1.088E+00, 1.690E+00,-6.764E-02, 1.690E+00,-9.101E-01, 1.690E+00,-1.721E-01
 1.820E+00, 1.019E+02, 1.820E+00, 1.847E+00, 1.820E+00,-4.036E-02, 1.820E+00,-1.010E+00, 1.820E+00,-1.540E+00
