s,kg/s,kg/s,C,C,m
Time,"DM_in","DM_out","HGL Temp","CGL Temp","HGL Height"
 0.000E+00, 3.536E-03, 3.547E-03, 3.198E+01, 2.900E+01, 1.829E+00
 1.019E+01, 1.335E-03, 8.607E-03,-5.753E+02, 2.900E+01, 1.829E+00
 2.006E+01, 3.290E-06, 1.263E-01,-5.753E+02, 2.901E+01, 1.829E+00
 3.007E+01, 1.655E-03, 1.710E-01,-5.757E+02, 2.911E+01, 1.829E+00
 4.004E+01, 3.979E-05, 1.924E-01,-5.779E+02, 2.928E+01, 1.829E+00
 5.008E+01, 2.612E-03, 1.732E-01,-5.832E+02, 2.946E+01, 1.829E+00
 6.010E+01, 2.710E-02, 1.991E-01,-5.924E+02, 2.965E+01, 1.829E+00
 7.007E+01, 2.377E-02, 1.549E-01,-6.351E+02, 2.985E+01, 1.828E+00
 8.010E+01, 1.145E-02, 1.650E-01,-1.585E+02, 3.005E+01, 1.790E+00
 9.001E+01, 1.788E-02, 1.905E-01, 3.650E+02, 3.024E+01, 1.791E+00
 1.001E+02, 2.795E-02, 1.643E-01,-1.117E+03, 3.045E+01, 1.821E+00
 1.100E+02, 2.426E-02, 1.682E-01, 6.175E+02, 3.063E+01, 1.806E+00
 1.201E+02, 2.156E-02, 2.002E-01, 2.025E+02, 3.084E+01, 1.765E+00
 1.300E+02, 3.050E-02, 1.859E-01, 1.854E+02, 3.105E+01, 1.761E+00
 1.401E+02, 4.774E-02, 1.916E-01, 2.047E+02, 3.127E+01, 1.768E+00
 1.500E+02, 7.611E-02, 2.282E-01, 1.582E+02, 3.152E+01, 1.746E+00
 1.601E+02, 8.561E-02, 2.282E-01, 1.444E+02, 3.171E+01, 1.720E+00
 1.700E+02, 1.006E-01, 2.243E-01, 1.484E+02, 3.188E+01, 1.729E+00
 1.800E+02, 8.420E-02, 2.287E-01, 1.736E+02, 3.205E+01, 1.754E+00
 1.901E+02, 1.148E-01, 2.124E-01, 1.580E+02, 3.246E+01, 1.735E+00
 2.001E+02, 1.115E-01, 2.208E-01, 1.347E+02, 3.334E+01, 1.702E+00
 2.100E+02, 1.261E-01, 2.329E-01, 1.385E+02, 3.497E+01, 1.708E+00
 2.201E+02, 1.306E-01, 2.661E-01, 1.273E+02, 3.686E+01, 1.680E+00
 2.300E+02, 1.439E-01, 3.031E-01, 1.257E+02, 3.699E+01, 1.631E+00
 2.401E+02, 1.940E-01, 2.991E-01, 1.267E+02, 3.504E+01, 1.571E+00
 2.501E+02, 1.996E-01, 3.249E-01, 1.155E+02, 3.287E+01, 1.470E+00
 2.600E+02, 2.333E-01, 3.322E-01, 1.099E+02, 3.216E+01, 1.497E+00
 2.700E+02, 2.469E-01, 3.785E-01, 1.113E+02, 3.183E+01, 1.523E+00
 2.800E+02, 2.701E-01, 3.770E-01, 1.114E+02, 3.164E+01, 1.545E+00
 2.900E+02, 2.824E-01, 3.785E-01, 1.175E+02, 3.159E+01, 1.526E+00
 3.000E+02, 3.022E-01, 4.012E-01, 1.197E+02, 3.164E+01, 1.476E+00
 3.100E+02, 3.146E-01, 4.071E-01, 1.147E+02, 3.179E+01, 1.411E+00
 3.200E+02, 3.051E-01, 4.241E-01, 1.154E+02, 3.206E+01, 1.386E+00
 3.300E+02, 3.483E-01, 4.067E-01, 1.206E+02, 3.238E+01, 1.376E+00
 3.401E+02, 3.455E-01, 4.287E-01, 1.212E+02, 3.271E+01, 1.384E+00
