s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.000E+00, 0.000E+00,-1.513E-02,-9.814E-09, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00, 0.000E+00,-1.513E-02, 0.000E+00, 0.000E+00
 1.019E+01, 1.830E+01,-6.142E+00, 7.108E-02,-1.593E-01, 4.448E-02, 0.000E+00, 0.000E+00, 1.166E+01, 1.211E+01, 1.215E-03, 1.215E-03
 2.006E+01, 6.807E+01,-1.229E+01,-4.617E-01, 3.028E-01, 6.405E-02, 0.000E+00, 0.000E+00, 5.515E+01, 5.568E+01, 1.262E-03, 1.262E-03
 3.007E+01, 6.995E+01,-1.180E+01,-6.864E-01, 6.200E-01, 6.717E-02, 0.000E+00, 0.000E+00, 5.794E+01, 5.815E+01, 1.262E-03, 1.262E-03
 4.004E+01, 6.561E+01,-1.087E+01,-5.265E-01,-1.547E+00, 6.683E-02, 0.000E+00, 0.000E+00, 5.290E+01, 5.273E+01, 1.262E-03, 1.262E-03
 5.008E+01, 6.045E+01,-1.001E+01,-4.059E-01,-2.628E+00, 6.968E-02, 0.000E+00, 0.000E+00, 4.757E+01, 4.748E+01, 1.262E-03, 1.262E-03
 6.010E+01, 6.471E+01,-1.064E+01,-4.729E-01,-2.431E+00, 7.209E-02, 0.000E+00, 0.000E+00, 5.113E+01, 5.124E+01, 1.262E-03, 1.262E-03
 7.007E+01, 6.040E+01,-9.814E+00,-6.135E-01,-2.355E+00, 6.810E-02, 0.000E+00, 0.000E+00, 4.748E+01, 4.768E+01, 1.262E-03, 1.262E-03
 8.010E+01, 6.526E+01,-1.069E+01,-6.360E-01,-2.521E+00, 6.948E-02, 0.000E+00, 0.000E+00, 5.147E+01, 5.148E+01, 1.262E-03, 1.262E-03
 9.001E+01, 6.431E+01,-1.056E+01,-4.454E-01,-2.313E+00, 7.025E-02, 0.000E+00, 0.000E+00, 5.095E+01, 5.106E+01, 1.262E-03, 1.262E-03
 1.001E+02, 5.950E+01,-9.518E+00,-6.361E-01,-1.769E+00, 7.167E-02, 0.000E+00, 0.000E+00, 4.760E+01, 4.764E+01, 1.262E-03, 1.262E-03
 1.100E+02, 5.978E+01,-9.759E+00,-5.309E-01,-2.132E+00, 7.106E-02, 0.000E+00, 0.000E+00, 4.719E+01, 4.743E+01, 1.262E-03, 1.262E-03
 1.201E+02, 6.826E+01,-1.107E+01,-5.247E-01,-1.744E+00, 6.838E-02, 0.000E+00, 0.000E+00, 5.505E+01, 5.500E+01, 1.262E-03, 1.262E-03
 1.300E+02, 6.176E+01,-1.008E+01,-5.100E-01,-1.659E+00, 6.720E-02, 0.000E+00, 0.000E+00, 4.961E+01, 4.958E+01, 1.262E-03, 1.262E-03
 1.401E+02, 6.394E+01,-1.051E+01,-5.943E-01,-1.695E+00, 7.195E-02, 0.000E+00, 0.000E+00, 5.110E+01, 5.121E+01, 1.262E-03, 1.262E-03
 1.500E+02, 6.360E+01,-1.056E+01,-4.434E-01,-2.116E+00, 6.905E-02, 0.000E+00, 0.000E+00, 5.050E+01, 5.055E+01, 1.262E-03, 1.262E-03
 1.601E+02, 6.293E+01,-1.036E+01,-4.943E-01,-2.069E+00, 6.542E-02, 0.000E+00, 0.000E+00, 5.002E+01, 5.007E+01, 1.262E-03, 1.262E-03
 1.700E+02, 6.363E+01,-1.059E+01,-6.876E-01,-2.041E+00, 7.102E-02, 0.000E+00, 0.000E+00, 5.018E+01, 5.039E+01, 1.262E-03, 1.262E-03
 1.800E+02, 6.251E+01,-1.024E+01,-9.213E-01,-1.975E+00, 6.794E-02, 0.000E+00, 0.000E+00, 4.948E+01, 4.943E+01, 1.262E-03, 1.262E-03
 1.901E+02, 6.462E+01,-1.082E+01,-6.480E+00,-2.113E+00, 6.673E-02, 0.000E+00, 0.000E+00, 4.470E+01, 4.528E+01, 1.262E-03, 1.262E-03
 2.001E+02, 6.075E+01,-1.021E+01,-8.741E+00,-2.365E+00, 7.059E-02, 0.000E+00, 0.000E+00, 3.930E+01, 3.951E+01, 1.262E-03, 1.262E-03
 2.100E+02, 6.224E+01,-1.046E+01,-8.123E+00,-2.733E+00, 6.955E-02, 0.000E+00, 0.000E+00, 4.060E+01, 4.100E+01, 1.262E-03, 1.262E-03
 2.201E+02, 5.844E+01,-9.642E+00,-9.586E+00,-2.230E+00, 6.876E-02, 0.000E+00, 0.000E+00, 3.732E+01, 3.705E+01, 1.262E-03, 1.262E-03
 2.300E+02, 6.747E+01,-1.150E+01,-1.040E+01,-2.112E+00, 7.213E-02, 0.000E+00, 0.000E+00, 4.376E+01, 4.353E+01, 1.262E-03, 1.262E-03
 2.401E+02, 6.149E+01,-1.045E+01,-8.661E+00,-2.061E+00, 6.661E-02, 0.000E+00, 0.000E+00, 4.021E+01, 4.038E+01, 1.262E-03, 1.262E-03
 2.501E+02, 6.389E+01,-1.082E+01,-7.463E+00,-1.932E+00, 6.660E-02, 0.000E+00, 0.000E+00, 4.366E+01, 4.374E+01, 1.262E-03, 1.262E-03
 2.600E+02, 6.410E+01,-1.098E+01,-8.735E+00,-2.399E+00, 6.724E-02, 0.000E+00, 0.000E+00, 4.193E+01, 4.205E+01, 1.262E-03, 1.262E-03
 2.700E+02, 6.317E+01,-1.079E+01,-1.098E+01,-2.933E+00, 7.036E-02, 0.000E+00, 0.000E+00, 3.891E+01, 3.854E+01, 1.262E-03, 1.262E-03
 2.800E+02, 6.163E+01,-1.072E+01,-1.583E+01,-2.731E+00, 7.133E-02, 0.000E+00, 0.000E+00, 3.251E+01, 3.241E+01, 1.262E-03, 1.262E-03
 2.900E+02, 6.694E+01,-1.177E+01,-1.660E+01,-2.858E+00, 6.839E-02, 0.000E+00, 0.000E+00, 3.543E+01, 3.578E+01, 1.262E-03, 1.262E-03
 3.000E+02, 6.305E+01,-1.084E+01,-1.923E+01,-2.725E+00, 6.804E-02, 0.000E+00, 0.000E+00, 3.043E+01, 3.031E+01, 1.262E-03, 1.262E-03
 3.100E+02, 6.263E+01,-1.108E+01,-1.902E+01,-2.947E+00, 7.096E-02, 0.000E+00, 0.000E+00, 2.973E+01, 2.966E+01, 1.262E-03, 1.262E-03
 3.200E+02, 6.355E+01,-1.082E+01,-1.808E+01,-2.509E+00, 7.453E-02, 0.000E+00, 0.000E+00, 3.279E+01, 3.222E+01, 1.262E-03, 1.262E-03
 3.300E+02, 6.647E+01,-1.195E+01,-2.390E+01,-2.027E+00, 7.791E-02, 0.000E+00, 0.000E+00, 2.762E+01, 2.868E+01, 1.262E-03, 1.262E-03
 3.401E+02, 6.902E+01,-1.210E+01,-2.521E+01,-1.871E+00, 8.195E-02, 0.000E+00, 0.000E+00, 2.972E+01, 2.992E+01, 1.262E-03, 1.262E-03
 3.501E+02, 6.001E+01,-1.065E+01,-2.371E+01,-2.184E+00, 7.944E-02, 0.000E+00, 0.000E+00, 2.385E+01, 2.354E+01, 1.262E-03, 1.262E-03
 3.600E+02, 6.350E+01,-1.139E+01,-2.312E+01,-2.105E+00, 8.047E-02, 0.000E+00, 0.000E+00, 2.716E+01, 2.697E+01, 1.262E-03, 1.262E-03
 3.700E+02, 6.404E+01,-1.139E+01,-2.106E+01,-1.900E+00, 8.254E-02, 0.000E+00, 0.000E+00, 2.972E+01, 2.978E+01, 1.262E-03, 1.262E-03
 3.801E+02, 6.510E+01,-1.139E+01,-2.714E+01,-1.757E+00, 8.766E-02, 0.000E+00, 0.000E+00, 2.482E+01, 2.490E+01, 1.262E-03, 1.262E-03
 3.901E+02, 6.200E+01,-1.111E+01,-2.205E+01,-1.978E+00, 8.773E-02, 0.000E+00, 0.000E+00, 2.654E+01, 2.695E+01, 1.262E-03, 1.262E-03
 4.000E+02, 6.145E+01,-1.102E+01,-2.980E+01,-2.184E+00, 8.465E-02, 0.000E+00, 0.000E+00, 1.827E+01, 1.852E+01, 1.262E-03, 1.262E-03
 4.100E+02, 6.413E+01,-1.148E+01,-3.209E+01,-2.136E+00, 8.582E-02, 0.000E+00, 0.000E+00, 1.852E+01, 1.851E+01, 1.262E-03, 1.262E-03
 4.200E+02, 6.242E+01,-1.118E+01,-2.439E+01,-2.125E+00, 8.600E-02, 0.000E+00, 0.000E+00, 2.502E+01, 2.481E+01, 1.262E-03, 1.262E-03
 4.300E+02, 6.162E+01,-1.105E+01,-2.574E+01,-1.767E+00, 8.237E-02, 0.000E+00, 0.000E+00, 2.346E+01, 2.314E+01, 1.262E-03, 1.262E-03
 4.400E+02, 6.267E+01,-1.124E+01,-3.315E+01,-1.527E+00, 8.435E-02, 0.000E+00, 0.000E+00, 1.696E+01, 1.684E+01, 1.262E-03, 1.262E-03
 4.500E+02, 6.463E+01,-1.171E+01,-2.653E+01,-1.529E+00, 8.804E-02, 0.000E+00, 0.000E+00, 2.483E+01, 2.495E+01, 1.262E-03, 1.262E-03
 4.601E+02, 6.059E+01,-1.082E+01,-3.218E+01,-1.287E+00, 8.836E-02, 0.000E+00, 0.000E+00, 1.636E+01, 1.639E+01, 1.262E-03, 1.262E-03
 4.701E+02, 6.780E+01,-1.228E+01,-2.918E+01,-1.499E+00, 8.903E-02, 0.000E+00, 0.000E+00, 2.531E+01, 2.493E+01, 1.262E-03, 1.262E-03
 4.801E+02, 5.838E+01,-1.055E+01,-2.951E+01,-1.547E+00, 8.342E-02, 0.000E+00, 0.000E+00, 1.703E+01, 1.686E+01, 1.262E-03, 1.262E-03
 4.901E+02, 6.368E+01,-1.178E+01,-3.384E+01,-1.671E+00, 8.493E-02, 0.000E+00, 0.000E+00, 1.614E+01, 1.647E+01, 1.262E-03, 1.262E-03
 5.001E+02, 6.317E+01,-1.128E+01,-3.017E+01,-1.395E+00, 8.583E-02, 0.000E+00, 0.000E+00, 2.066E+01, 2.041E+01, 1.262E-03, 1.262E-03
 5.101E+02, 6.439E+01,-1.189E+01,-4.041E+01,-1.394E+00, 8.342E-02, 0.000E+00, 0.000E+00, 1.061E+01, 1.078E+01, 1.262E-03, 1.262E-03
 5.201E+02, 6.204E+01,-1.095E+01,-2.748E+01,-1.352E+00, 8.726E-02, 0.000E+00, 0.000E+00, 2.247E+01, 2.234E+01, 1.262E-03, 1.262E-03
 5.300E+02, 6.077E+01,-1.102E+01,-3.169E+01,-1.071E+00, 8.557E-02, 0.000E+00, 0.000E+00, 1.737E+01, 1.707E+01, 1.262E-03, 1.262E-03
 5.400E+02, 6.612E+01,-1.217E+01,-4.215E+01,-1.031E+00, 8.920E-02, 0.000E+00, 0.000E+00, 1.102E+01, 1.086E+01, 1.262E-03, 1.262E-03
 5.500E+02, 6.274E+01,-1.134E+01,-3.211E+01,-1.157E+00, 8.684E-02, 0.000E+00, 0.000E+00, 1.823E+01, 1.821E+01, 1.262E-03, 1.262E-03
 5.601E+02, 6.016E+01,-1.100E+01,-3.034E+01,-1.335E+00, 8.510E-02, 0.000E+00, 0.000E+00, 1.742E+01, 1.757E+01, 1.262E-03, 1.262E-03
