m,C,m,m/s,m,m/s,m,m/s,m,m/s
T_door-z,T_door,Vel_door-z,Vel_door,U_door-z,U_door,V_door-z,V_door,W_door-z,W_door
 4.177E-04, 3.234E+01, 4.177E-04, 9.684E-01, 4.177E-04,-9.886E-03, 4.177E-04, 9.932E-01, 4.177E-04,-3.220E-02
 1.300E-01, 2.942E+01, 1.300E-01, 9.740E-01, 1.300E-01,-7.532E-03, 1.300E-01, 9.935E-01, 1.300E-01,-6.980E-02
 2.600E-01, 2.944E+01, 2.600E-01, 9.413E-01, 2.600E-01, 1.594E-03, 2.600E-01, 9.488E-01, 2.600E-01,-1.708E-01
 3.900E-01, 2.955E+01, 3.900E-01, 8.922E-01, 3.900E-01, 2.695E-02, 3.900E-01, 8.792E-01, 3.900E-01,-2.493E-01
 5.200E-01, 2.957E+01, 5.200E-01, 8.351E-01, 5.200E-01,-8.634E-05, 5.200E-01, 8.006E-01, 5.200E-01,-2.939E-01
 6.500E-01, 2.960E+01, 6.500E-01, 7.631E-01, 6.500E-01,-3.087E-02, 6.500E-01, 7.153E-01, 6.500E-01,-3.123E-01
 7.800E-01, 2.976E+01, 7.800E-01, 6.744E-01, 7.800E-01,-5.413E-02, 7.800E-01, 6.077E-01, 7.800E-01,-3.082E-01
 9.100E-01, 6.459E+01, 9.100E-01, 2.839E-01, 9.100E-01, 2.176E-03, 9.100E-01, 6.097E-02, 9.100E-01,-1.721E-02
 1.040E+00, 1.038E+02, 1.040E+00, 4.740E-01, 1.040E+00,-4.452E-02, 1.040E+00,-3.755E-01, 1.040E+00, 1.974E-01
 1.170E+00, 1.199E+02, 1.170E+00, 7.187E-01, 1.170E+00,-7.701E-02, 1.170E+00,-6.133E-01, 1.170E+00, 2.568E-01
 1.300E+00, 1.293E+02, 1.300E+00, 8.927E-01, 1.300E+00, 1.012E-02, 1.300E+00,-7.947E-01, 1.300E+00, 1.900E-01
 1.430E+00, 1.335E+02, 1.430E+00, 1.047E+00, 1.430E+00, 5.695E-02, 1.430E+00,-9.325E-01, 1.430E+00, 5.766E-02
 1.560E+00, 1.359E+02, 1.560E+00, 1.234E+00, 1.560E+00, 2.294E-02, 1.560E+00,-1.078E+00, 1.560E+00,-1.590E-01
 1.690E+00, 1.381E+02, 1.690E+00, 1.389E+00, 1.690E+00,-2.417E-01, 1.690E+00,-1.160E+00, 1.690E+00,-3.086E-01
 1.820E+00, 1.410E+02, 1.820E+00, 2.335E+00, 1.820E+00,-1.146E-01, 1.820E+00,-1.294E+00, 1.820E+00,-1.936E+00
